"tid","loc_name","loc_number","loc_type","address_1","country","region_code","hours_of_operation","state","city","postal_code","phone","latitude","longitude","services_included","contact","opening_date","RunDate","InsertUpdateTime","RunID"
24360,"West Des Moines","788","Warehouse","7205 MILLS CIVIC PKWY","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","IA","WEST DES MOINES","50266-8140","(515) 222-2920","41.56148","-93.805176","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2004-12-07","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24361,"Oklahoma City","1350","Warehouse","13200 N WESTERN AVE","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","OK","OKLAHOMA CITY","73114","(405) 832-5102","35.604809","-97.530418","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2019-05-16","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24362,"Tulsa","1207","Warehouse","10220 S MEMORIAL DR","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","OK","TULSA","74133-7179","(918) 710-2220","36.016489","-95.886624","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center; Diesel","","2016-04-21","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24363,"Moore","1444","Warehouse","2651 S. TELEPHONE RD","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","OK","MOORE","73160-0008","(405) 300-7661","35.3132582","-97.4967976","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2021-07-22","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24364,"Parker","1022","Warehouse","18414 COTTONWOOD DR","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","PARKER","80138-8876","(303) 583-1939","39.55879","-104.776443","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2008-08-22","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24365,"Aurora","439","Warehouse","1471 S HAVANA ST","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","AURORA","80012-4013","(303) 750-2116","39.689939","-104.86595","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","1990-11-03","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24366,"E Colorado Springs","1014","Warehouse","5885 BARNES RD","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","COLORADO SPRINGS","80922-3512","(719) 591-3002","38.89349","-104.71827","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2008-02-20","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24367,"Douglas County","468","Warehouse","8686 PARK MEADOWS CENTER DR","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","LITTLETON","80124-5129","(303) 708-0012","39.560636","-104.878905","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","1997-11-20","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24368,"Springfield","1486","Warehouse","279 N. EASTGATE AVENUE","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MO","SPRINGFIELD","65802","(417) 512-8939","37.210172","-93.223047","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2021-08-18","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24369,"W Colorado Springs","1030","Warehouse","5050 N NEVADA AVE","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","COLORADO SPRINGS","80918-8602","(719) 264-5010","38.90399","-104.81731","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2009-10-29","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24370,"Thornton","629","Warehouse","16375 N. WASHINGTON ST","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","THORNTON","80023-8907","(303) 474-3247","39.993433","-104.978226","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2007-02-21","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24371,"Timnath","1178","Warehouse","4705 WEITZEL ST","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","TIMNATH","80547-4703","(970) 416-6115","40.520491","-104.989036","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center; Diesel","","2014-10-02","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24372,"Sheridan","1027","Warehouse","4000 RIVER POINT PKWY","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","SHERIDAN","80110-3316","(303) 200-1830","39.644394","-105.006393","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2008-08-21","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24373,"Denver Bus Ctr","650","Warehouse","400 S ZUNI ST","US","BD","Mon-Fri:07:00:00-18:00:00; Sat:07:00:00-16:00:00; Sun:00:00:00-00:00:00","CO","DENVER","80223-1969","(303) 830-4529","39.70884","-105.01568","","","2016-06-01","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24374,"Westminster CO","440","Warehouse","6400 W 92ND AVE","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","WESTMINSTER","80031-2952","(303) 650-1476","39.863667","-105.066961","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","1990-11-03","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24375,"Arvada","676","Warehouse","5195 WADSWORTH BLVD","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","ARVADA","80002-4617","(303) 463-3603","39.791059","-105.08147","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2001-09-19","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24376,"SW Denver","443","Warehouse","7900 W QUINCY AVE","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","LITTLETON","80123-1350","(303) 933-4931","39.638706","-105.085093","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","1991-08-01","2022-05-03 08:10:15","2022-05-03 08:10:30",46269
24377,"Superior","480","Warehouse","600 MARSHALL RD","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","SUPERIOR","80027-9730","(720) 587-1000","39.95974","-105.17175","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","1999-04-15","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24378,"Coralville","1111","Warehouse","2900 HEARTLAND DR","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","IA","CORALVILLE","52241-2740","(319) 545-3200","41.69812","-91.61474","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2012-06-27","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24379,"Rochester MN","1125","Warehouse","2020 COMMERCE DR NW","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","ROCHESTER","55901-3246","(507) 286-1860","44.05099","-92.52051","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2012-11-16","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24380,"St Peters","382","Warehouse","200 COSTCO WAY","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MO","SAINT PETERS","63376-4385","(636) 970-4004","38.796366","-90.608505","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2001-05-08","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24381,"Burnsville","1087","Warehouse","14050 BURNHAVEN DR","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","BURNSVILLE","55337-4407","(952) 229-6449","44.748827","-93.293062","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2010-11-23","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24382,"Eden Prairie","783","Warehouse","12011 TECHNOLOGY DR","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","EDEN PRAIRIE","55344-3620","(952) 943-4801","44.862129","-93.429645","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2004-11-18","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24383,"Davenport","1325","Warehouse","2790 E 53RD ST","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","IA","DAVENPORT","52807-3007","(563) 893-7004","41.574795","-90.524329","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2018-10-20","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24384,"Manchester MO","1060","Warehouse","301 HIGHLANDS BLVD DRIVE","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MO","MANCHESTER","63011-4385","(636) 686-7400","38.59694","-90.5054","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2009-11-17","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24385,"St Louis Park","377","Warehouse","5801 W 16TH ST","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","SAINT LOUIS PARK","55416-1446","(763) 582-9603","44.967617","-93.350369","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2000-11-16","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24386,"Eagan","1363","Warehouse","995 BLUE GENTIAN RD","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","EAGAN","55121-1542","(612) 439-8060","44.85736","-93.129481","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2019-11-15","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24387,"Gypsum","637","Warehouse","170 COOLEY MESA RD","US","SD","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","CO","GYPSUM","81637-9707","(970) 328-7603","39.643382","-106.888696","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center; Diesel","","2006-10-20","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24388,"Maple Grove","648","Warehouse","11330 FOUNTAINS DR","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","MAPLE GROVE","55369-7200","(763) 494-8050","45.091573","-93.424037","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2006-10-27","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24389,"S St Louis","368","Warehouse","4200 RUSTY RD","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MO","SAINT LOUIS","63128-1973","(314) 894-7950","38.5083","-90.3392","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2002-09-20","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24390,"Minneapolis Bus Ctr","652","Warehouse","3311 BROADWAY ST NE","US","BD","Mon-Fri:07:00:00-18:00:00; Sat:07:00:00-16:00:00; Sun:00:00:00-00:00:00","MN","MINNEAPOLIS","55413-4553","(651) 502-7600","44.99941","-93.21584","Gas Station","","2018-06-27","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24391,"St Cloud","1344","Warehouse","3636 2ND ST S","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","SAINT CLOUD","56301-3732","(320) 316-9865","45.549576","-94.202718","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2019-06-29","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24392,"Woodbury","1272","Warehouse","7070 TAMARACK ROAD","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","WOODBURY","55125-1205","(612) 540-5458","44.938785","-92.963576","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2017-11-15","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24393,"Coon Rapids","372","Warehouse","12547 RIVERDALE BLVD NW","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","MINNEAPOLIS","55448-6708","(763) 712-7763","45.198629","-93.350161","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2001-10-23","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24394,"Maplewood","1021","Warehouse","1431 BEAM AVE","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","MAPLEWOOD","55109-1064","(612) 486-1740","45.028044","-93.040862","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2008-08-28","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24395,"McKinney","1284","Warehouse","3650 W UNIVERSITY DR","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","MCKINNEY","75071-2934","(469) 347-6421","33.217619","-96.664438","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2018-07-25","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24396,"Frisco","1097","Warehouse","11220 DALLAS PKWY","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","FRISCO","75033-4102","(469) 200-7116","33.17101","-96.839302","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2011-10-22","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24397,"Lubbock TX","1163","Warehouse","6020 34TH ST","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","LUBBOCK","79407-3102","(806) 784-1450","33.563294","-101.94455","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center; Diesel","","2013-11-15","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24398,"East Peoria","1126","Warehouse","301 W WASHINGTON ST","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","IL","EAST PEORIA","61611-2036","(309) 427-2930","40.668718","-89.583786","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2012-11-14","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24399,"W Plano","684","Warehouse","1701 DALLAS PKWY","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","PLANO","75093-4520","(972) 246-2203","33.02287","-96.830185","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2001-09-27","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24400,"E Plano","664","Warehouse","3800 N CENTRAL EXPY","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","PLANO","75074-2221","(972) 244-0003","33.044569","-96.69958","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2000-09-21","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24401,"Lewisville","683","Warehouse","851 STATE HIGHWAY 121 BYP","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","LEWISVILLE","75067-4158","(469) 948-1026","32.996785","-96.963762","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2004-08-25","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24402,"Southlake","669","Warehouse","2601 E STATE HIGHWAY 114","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","SOUTHLAKE","76092-6668","(817) 749-2800","32.942905","-97.112508","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2001-04-27","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24403,"N Fort Worth","1173","Warehouse","8900 TEHAMA RIDGE PKWY","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","FORT WORTH","76177-2004","(817) 806-9833","32.899534","-97.32137","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2014-05-09","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24404,"Little Rock","1442","Warehouse","16901 CHENAL PARKWAY","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","AR","LITTLE ROCK","72223","(501) 817-8603","34.757188","-92.453639","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2021-07-21","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24405,"Dallas","1266","Warehouse","8055 CHURCHILL WAY","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","DALLAS","75251-2149","(469) 680-7546","32.918992","-96.768165","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2017-05-11","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24406,"Dallas Bus Ctr","655","Warehouse","8282 PARK LN","US","BD","Mon-Fri:07:00:00-18:00:00; Sat:07:00:00-16:00:00; Sun:00:00:00-00:00:00","TX","DALLAS","75231-6023","(469) 498-6623","32.871392","-96.762924","Gas Station","","2019-09-05","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24407,"West Fargo ND","1119","Warehouse","750 23RD AVE EAST","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","ND","WEST FARGO","58078-7804","(701) 281-2220","46.844268","-96.88671","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2012-10-23","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24408,"Rockwall","1049","Warehouse","1225 STATE HIGHWAY 276","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","ROCKWALL","75032-9376","(972) 772-1602","32.908077","-96.446014","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2009-04-08","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24409,"Fort Worth","489","Warehouse","5300 OVERTON RIDGE BLVD","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","FORT WORTH","76132-3301","(817) 210-0003","32.676165","-97.405063","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2000-09-21","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24410,"Bismarck","1380","Warehouse","1325 57TH AVE NE","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","ND","BISMARCK","58503-6581","(701) 415-7003","46.8646835","-100.7712207","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center; Diesel","","2020-08-25","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24411,"Baxter","1122","Warehouse","13650 ELDER DR","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","MN","BAXTER","56425-8818","(218) 855-5740","46.349445","-94.249024","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2012-10-24","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24412,"Arlington","668","Warehouse","600 W ARBROOK BLVD","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","ARLINGTON","76014-3702","(817) 417-1603","32.684692","-97.11355","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2001-04-27","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24413,"Duncanville","636","Warehouse","250 W HIGHWAY 67","US","TE","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","TX","DUNCANVILLE","75137-4415","(469) 221-8113","32.621388","-96.910871","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2006-08-09","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24414,"Middleton","1020","Warehouse","2150 DEMING WAY","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","WI","MIDDLETON","53562-5507","(608) 824-3950","43.097728","-89.52346","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2008-08-20","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24415,"Loves Park","1353","Warehouse","5000 STADIUM DRIVE","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","IL","LOVES PARK","61111","(779) 513-8397","42.32126","-88.961625","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2019-08-23","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24416,"Sun Prairie","1121","Warehouse","2850 HOEPKER RD","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","WI","SUN PRAIRIE","53590-9334","(608) 825-4001","43.16505","-89.27459","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2012-11-15","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
24417,"Champaign","1384","Warehouse","2002 N. NEIL ST","US","MW","Mon-Fri:10:00:00-20:30:00; Sat:09:30:00-18:00:00; Sun:10:00:00-18:00:00","IL","CHAMPAIGN","61820","(217) 600-6538","40.1405327","-88.2449229","Food Court; Gas Station; Hearing Aids; Optical Department; Pharmacy; Tire Service Center","","2020-10-22","2022-05-03 08:10:15","2022-05-03 08:10:31",46269
