address,city,state,postal_code,latitude,longitude,brand,cheap,fresh,variety,friendly
"900 Army-Navy Drive Arlington, VA 22202",Arlington,VA,22202,38.8652564,-77.0619613,kroger,4,3,4,3
"3600 S. Glebe Rd Suite W100 Arlington, VA 22202",Arlington,VA,22202,38.8423887,-77.051868,kroger,4,3,4,3
"600 North Glebe Road Arlington, VA 22203",Arlington,VA,22203,38.8766666,-77.1098822,kroger,4,3,4,3
"950 S George Mason Dr Arlington, VA 22204",Arlington,VA,22204,38.858928,-77.102467,kroger,4,3,4,3
"4250 Campbell Avenue Arlington, VA 22206",Arlington,VA,22206,38.8413764,-77.090135,kroger,4,3,4,3
"2425 North Harrison Street ARLINGTON, VA 22207",Arlington,VA,22207,38.8969894,-77.137529,kroger,4,3,4,3
"4550 King St Alexandria, VA 22302",Alexandria,VA,22302,38.840304,-77.107286,kroger,4,3,4,3
"735 N. Saint Asaph St. Alexandria, VA 22314",Alexandria,VA,22314,38.8126592,-77.0437344,kroger,4,3,4,3
"4805 Battery Lane Bethesda, MD 20814",Bethesda,MD,20814,38.9927564,-77.0965308,kroger,4,3,4,3
"4641 Duke Street Alexandria, VA 22314",Alexandria,VA,22314,38.8128453,-77.1125492,kroger,4,3,4,3
"301 W Broad St #A Falls Church, VA 22046",Falls Church,VA,22046,38.883562,-77.173581,kroger,4,3,4,3
"6351 Columbia Pike FALLS CHURCH, VA 22041",Falls Church,VA,22041,38.8356087,-77.1554044,kroger,4,3,4,3
"8200 Crestwood Heights Dr MCLEAN, VA 22102",Mclean,VA,22102,38.9299784,-77.2276195,kroger,4,3,4,3
"2675 Avenir Place Vienna, VA 22180",Vienna,VA,22180,38.8793421,-77.2278834,kroger,4,3,4,3
"15501 Annapolis Rd. #400 Bowie, MD 20715",Bowie,MD,20715,38.9779435,-76.733825,kroger,4,3,4,3
"11806 Spectrum Center Reston, VA 20190",Reston,VA,20190,38.9660949,-77.3548599,kroger,4,3,4,3
"3905 Fair Ridge Dr. Fairfax, VA 22033",Fairfax,VA,22033,38.872995,-77.3742857,kroger,4,3,4,3
"12960 Highland Crossing Drive HERNDON, VA 20171",Herndon,VA,20171,38.949801,-77.394948,kroger,4,3,4,3
"21399 Epicerie Plaza Sterling, VA 20164",Sterling,VA,20164,39.0231238,-77.3963118,kroger,4,3,4,3
"10125 Ward Road Dunkirk, MD 20754",Dunkirk,MD,20754,38.717676,-76.658361,kroger,4,3,4,3
"12745 Galveston Ct Manassas, VA 20112",Manassas,VA,20112,38.6803398,-77.3633746,kroger,4,3,4,3
"25401 Eastern Marketplace Plaza Chantilly, VA 20152",Chantilly,VA,20152,38.9151888,-77.4894456,kroger,4,3,4,3
"10060 Market Circle Manassas, VA 20110",Manassas,VA,20110,38.7390758,-77.452844,kroger,4,3,4,3
"43300 Southern Walk Plaza Ashburn, VA 20148",Ashburn,VA,20148,39.0086515,-77.5032675,kroger,4,3,4,3
"42415 Ryan Road Brambleton, VA 20148",Brambleton,VA,20148,38.9858972,-77.5349995,kroger,4,3,4,3
"24441 Stone Springs Blvd Sterling, VA 20166",Sterling,VA,20166,38.9412588,-77.5448447,kroger,4,3,4,3
"42015 Village Center Plaza Suite 110 Aldie, VA 20105",Aldie,VA,20105,38.9392467,-77.549023,kroger,4,3,4,3
"10438 Bristow Center Dr Bristow, VA 20136",Bristow,VA,20136,38.7323471,-77.5499928,kroger,4,3,4,3
"13901 Heathcote Blvd. Gainesville, VA 20155",Gainesville,VA,20155,38.8078308,-77.611825,kroger,4,3,4,3
"530 Fletcher Dr Warrenton, VA 20186",Warrenton,VA,20186,38.727285,-77.7959607,kroger,4,3,4,3
"44900 Saint Andrews Church Rd California, MD 20619",California,MD,20619,38.302746,-76.523278,kroger,4,3,4,3
"9351 Atlee Rd Mechanicsville, VA 23116",Mechanicsville,VA,23116,37.651862,-77.4023142,kroger,4,3,4,3
"11895 W Broad St Richmond, VA 23233",Richmond,VA,23233,37.6528767,-77.6257764,kroger,4,3,4,3
"9480 W Broad St Henrico, VA 23294",Henrico,VA,23294,37.6411047,-77.55518,kroger,4,3,4,3
"9000 Staples Mill Road Henrico, VA 23228",Henrico,VA,23228,37.6371706,-77.5146395,kroger,4,3,4,3
"6335 Mechanicsville Tpke Mechanicsville, VA 23111",Mechanicsville,VA,23111,37.6147813,-77.319389,kroger,4,3,4,3
"1356 Gaskins Rd Richmond, VA 23238",Richmond,VA,23238,37.6066106,-77.5921409,kroger,4,3,4,3
"1510 Eastridge Rd Richmond, VA 23229",Richmond,VA,23229,37.6036466,-77.5618116,kroger,4,3,4,3
"1601 Willow Lawn Dr Ste 1 Richmond, VA 23230",Richmond,VA,23230,37.5800889,-77.4992451,kroger,4,3,4,3
"901 N Lombardy St Richmond, VA 23220",Richmond,VA,23220,37.5559553,-77.4538601,kroger,4,3,4,3
"3507 W Cary St Richmond, VA 23221",Richmond,VA,23221,37.5544269,-77.4879735,kroger,4,3,4,3
"4816 S Laburnum Ave Richmond, VA 23231",Richmond,VA,23231,37.5197952,-77.351953,kroger,4,3,4,3
"3001 Polo Pkwy Midlothian, VA 23113",Midlothian,VA,23113,37.525986,-77.608528,kroger,4,3,4,3
"7000 Tim Price Way North Chesterfield, VA 23225",North Chesterfield,VA,23225,37.498952,-77.52557,kroger,4,3,4,3
"14101 Midlothian Tpke Midlothian, VA 23113",Midlothian,VA,23113,37.5044545,-77.6636743,kroger,4,3,4,3
"2821 Hicks Rd North Chesterfield, VA 23235",North Chesterfield,VA,23235,37.4619237,-77.5484941,kroger,4,3,4,3
"13201 Rittenhouse Dr Midlothian, VA 23112",Midlothian,VA,23112,37.4154331,-77.638893,kroger,4,3,4,3
"10800 Iron Bridge Road Chester, VA 23831",Chester,VA,23831,37.367386,-77.501722,kroger,4,3,4,3
"12726 Jefferson Davis Hwy Chester, VA 23831",Chester,VA,23831,37.3519264,-77.4148647,kroger,4,3,4,3
"6485 Centerville Road Williamsburg, VA 23188",Williamsburg,VA,23188,37.3389176,-76.7561377,kroger,4,3,4,3
"7254 Hayes Shopping Court Hayes, VA 23072",Hayes,VA,23072,37.29393,-76.511687,kroger,4,3,4,3
"1470 Quarterpath Rd Williamsburg, VA 23185",Williamsburg,VA,23185,37.2487143,-76.6865177,kroger,4,3,4,3
"4511 John Tyler Hwy Williamsburg, VA 23185",Williamsburg,VA,23185,37.251464,-76.76369,kroger,4,3,4,3
"6500-C George Washington Memorial Hwy Grafton, VA 23692",Grafton,VA,23692,37.1730607,-76.4725823,kroger,4,3,4,3
"5007 Victory Blvd Yorktown, VA 23693",Yorktown,VA,23693,37.113543,-76.466555,kroger,4,3,4,3
"12404 Warwick Blvd Newport News, VA 23606",Newport News,VA,23606,37.06857,-76.491554,kroger,4,3,4,3
"1790 E Market St Harrisonburg, VA 22801",Harrisonburg,VA,22801,38.4316385,-78.8406856,kroger,4,3,4,3
"159 Community Drive Charlottesville, VA 22911",Charlottesville,VA,22911,38.1274717,-78.4437236,kroger,4,3,4,3
"1980 Rio Hill Ctr Charlottesville, VA 22901",Charlottesville,VA,22901,38.0892084,-78.4740311,kroger,4,3,4,3
"1904 Emmet St N Charlottesville, VA 22901",Charlottesville,VA,22901,38.0595317,-78.4911958,kroger,4,3,4,3
"1159 Emmet St N Charlottesville, VA 22903",Charlottesville,VA,22903,38.0535892,-78.5006568,kroger,4,3,4,3
"975 Emmet Street Space 8 CHARLOTTESVILLE, VA 22903",Charlottesville,VA,22903,38.0500621,-78.5045993,kroger,4,3,4,3
"545 Radford Ln Building A CHARLOTTESVILLE, VA 22903",Charlottesville,VA,22903,38.0508762,-78.6819627,kroger,4,3,4,3
"245 Arch Ave Waynesboro, VA 22980",Waynesboro,VA,22980,38.0656139,-78.8885241,kroger,4,3,4,3
"850 Statler Blvd Staunton, VA 24401",Staunton,VA,24401,38.1393089,-79.0686715,kroger,4,3,4,3
"7789 Richmond Hwy Appomattox, VA 24522",Appomattox,VA,24522,37.3659656,-78.8444999,kroger,4,3,4,3
"422 E Nelson St Lexington, VA 24450",Lexington,VA,24450,37.7808696,-79.4361553,kroger,4,3,4,3
"4119 Boonsboro Rd Lynchburg, VA 24503",Lynchburg,VA,24503,37.4423929,-79.2039943,kroger,4,3,4,3
"2012 Wards Rd Lynchburg, VA 24502",Lynchburg,VA,24502,37.3749965,-79.1835381,kroger,4,3,4,3
"7805 Timberlake Rd Lynchburg, VA 24502",Lynchburg,VA,24502,37.3541197,-79.2268709,kroger,4,3,4,3
"1618 Main St Clifton Forge, VA 24422",Clifton Forge,VA,24422,37.816521,-79.8090816,kroger,4,3,4,3
"15069 Forest Rd Forest, VA 24551",Forest,VA,24551,37.3641567,-79.2949382,kroger,4,3,4,3
"1050 W Mercury Blvd Hampton, VA 23666",Hampton,VA,23666,37.044892,-76.383417,kroger,4,3,4,3
"227 Fox Hill Road, A01 Hampton, VA 23669",Hampton,VA,23669,37.05826,-76.32846,kroger,4,3,4,3
"1282 Smithfield Plaza Smithfield, VA 23430",Smithfield,VA,23430,36.955618,-76.603377,kroger,4,3,4,3
"179 W Ocean View Ave Norfolk, VA 23503",Norfolk,VA,23503,36.954299,-76.253331,kroger,4,3,4,3
"7550 Granby St. Norfolk, VA 23505",Norfolk,VA,23505,36.9139568,-76.2712559,kroger,4,3,4,3
"1017 University Blvd Suffolk, VA 23435",Suffolk,VA,23435,36.872355,-76.42044,kroger,4,3,4,3
"3575 Bridge Rd Suffolk, VA 23435",Suffolk,VA,23435,36.860941,-76.466973,kroger,4,3,4,3
"3249 Tyre Neck Rd. PORTSMOUTH, VA 23703",Portsmouth,VA,23703,36.8623219,-76.3944573,kroger,4,3,4,3
"1320 Colonial Ave Norfolk, VA 23517",Norfolk,VA,23517,36.8648395,-76.2925258,kroger,4,3,4,3
"1301 Frederick Boulevard Portsmouth, VA 23707",Portsmouth,VA,23707,36.8278206,-76.3364933,kroger,4,3,4,3
"4625 Shore Dr Virginia Beach, VA 23455",Virginia Beach,VA,23455,36.9030363,-76.1304624,kroger,4,3,4,3
"1069 Independence Blvd Virginia Beach, VA 23455",Virginia Beach,VA,23455,36.872869,-76.135972,kroger,4,3,4,3
"1401 North Main Street Suffolk, VA 23434",Suffolk,VA,23434,36.74948,-76.585462,kroger,4,3,4,3
"975 Providence Sq Shopping Ctr Virginia Beach, VA 23464",Virginia Beach,VA,23464,36.8122513,-76.167841,kroger,4,3,4,3
"2110 Great Neck Sq Virginia Beach, VA 23454",Virginia Beach,VA,23454,36.87544,-76.037599,kroger,4,3,4,3
"1653 Sentinel Drive Chesapeake, VA 23320",Chesapeake,VA,23320,36.778298,-76.253951,kroger,4,3,4,3
"3330 Virginia Beach Blvd Virginia Beach, VA 23452",Virginia Beach,VA,23452,36.8440745,-76.0882684,kroger,4,3,4,3
"3333 Virginia Beach Boulevard Virginia Beach, VA 23451",Virginia Beach,VA,23451,36.8409189,-76.0862686,kroger,4,3,4,3
"5060 Ferrell Pkwy Virginia Beach, VA 23464",Virginia Beach,VA,23464,36.7938231,-76.1691567,kroger,4,3,4,3
"4540 Princess Anne Rd Virginia Beach, VA 23462",Virginia Beach,VA,23462,36.807236,-76.1327354,kroger,4,3,4,3
"1216 Greenbrier Parkway CHESAPEAKE, VA 23320",Chesapeake,VA,23320,36.7693582,-76.2300646,kroger,4,3,4,3
"3901 Holland Road Virginia Beach, VA 23452",Virginia Beach,VA,23452,36.8132715,-76.1111927,kroger,4,3,4,3
"1800 Republic Rd Virginia Beach, VA 23454",Virginia Beach,VA,23454,36.8523856,-76.0280787,kroger,4,3,4,3
"1400 Kempsville Road #109 Chesapeake, VA 23320",Chesapeake,VA,23320,36.76445,-76.20226,kroger,4,3,4,3
"2800 Arctic Avenue Virginia Beach, VA 23451",Virginia Beach,VA,23451,36.8557663,-75.9810611,kroger,4,3,4,3
"309 South Battlefield Blvd Chesapeake, VA 23322",Chesapeake,VA,23322,36.714967,-76.237417,kroger,4,3,4,3
"1464 Mt Pleasant Road Chesapeake, VA 23322",Chesapeake,VA,23322,36.716656,-76.187727,kroger,4,3,4,3
"237 Hanbury Road East CHESAPEAKE, VA 23322",Chesapeake,VA,23322,36.6857121,-76.2249127,kroger,4,3,4,3
"2476 Nimmo Parkway Virginia Beach, VA 23456",Virginia Beach,VA,23456,36.7548804,-76.0651771,kroger,4,3,4,3
"2129 General Booth Boulevard Virginia Beach, VA 23454",Virginia Beach,VA,23454,36.76776,-76.01541,kroger,4,3,4,3
"2105 Princess Anne Rd. Virginia Beach, VA 23456",Virginia Beach,VA,23456,36.7516257,-76.0118395,kroger,4,3,4,3
"601 Currituck Clubhouse Dr . COROLLA, NC 27927",Corolla,NC,27927,36.3030868,-75.8065443,kroger,4,3,4,3
"5400 North Croatan Hwy #A Kitty Hawk, NC 27949",Kitty Hawk,NC,27949,36.0972627,-75.7192362,kroger,4,3,4,3
"3679 Sunset Avenue Rocky Mount, NC 27801",Rocky Mount,NC,27801,35.9626437,-77.8521997,kroger,4,3,4,3
"13686 Capital Blvd. WAKE FOREST, NC 27587",Wake Forest,NC,27587,36.005386,-78.5182797,kroger,4,3,4,3
"614 Brandon Ave Sw Roanoke, VA 24015",Roanoke,VA,24015,37.256175,-79.956016,kroger,4,3,4,3
"915 Hardy Rd Vinton, VA 24179",Vinton,VA,24179,37.2718692,-79.8871144,kroger,4,3,4,3
"4488 Electric Rd Roanoke, VA 24018",Roanoke,VA,24018,37.2332055,-79.9765167,kroger,4,3,4,3
"5050 Rutgers St Nw Roanoke, VA 24012",Roanoke,VA,24012,37.3171968,-79.9654969,kroger,4,3,4,3
"3971 Brambleton Ave Roanoke, VA 24018",Roanoke,VA,24018,37.2331066,-80.0090473,kroger,4,3,4,3
"3970 Valley Gateway Blvd. Roanoke, VA 24012",Roanoke,VA,24012,37.3129851,-79.8799901,kroger,4,3,4,3
"3635 Peters Creek Rd. Roanoke, VA 24019",Roanoke,VA,24019,37.3231544,-79.9930877,kroger,4,3,4,3
"4404 Brambleton Ave Roanoke, VA 24018",Roanoke,VA,24018,37.2240862,-80.011781,kroger,4,3,4,3
"161 Electric Rd Salem, VA 24153",Salem,VA,24153,37.2967495,-80.0291275,kroger,4,3,4,3
"1925 Electric Rd Salem, VA 24153",Salem,VA,24153,37.2643375,-80.0350184,kroger,4,3,4,3
"7223 Williamson Rd Roanoke, VA 24019",Roanoke,VA,24019,37.3454411,-79.9545141,kroger,4,3,4,3
"1477 W Main St Salem, VA 24153",Salem,VA,24153,37.2906453,-80.0831415,kroger,4,3,4,3
"72 Kingston Dr Daleville, VA 24083",Daleville,VA,24083,37.3968707,-79.9111764,kroger,4,3,4,3
"80 Westlake Rd Hardy, VA 24101",Hardy,VA,24101,37.1179775,-79.7190137,kroger,4,3,4,3
"400 Old Franklin Tpke Ste 110 Rocky Mount, VA 24151",Rocky Mount,VA,24151,37.0115094,-79.8658615,kroger,4,3,4,3
"1322 S Main St Blacksburg, VA 24060",Blacksburg,VA,24060,37.2167784,-80.4027343,kroger,4,3,4,3
"903 University City Blvd Blacksburg, VA 24060",Blacksburg,VA,24060,37.2354892,-80.4352626,kroger,4,3,4,3
"555 N Franklin St Christiansburg, VA 24073",Christiansburg,VA,24073,37.1361244,-80.4117031,kroger,4,3,4,3
"7480 Lee Hwy Fairlawn, VA 24141",Fairlawn,VA,24141,37.1416095,-80.5804881,kroger,4,3,4,3
"240 Commonwealth Blvd W Martinsville, VA 24112",Martinsville,VA,24112,36.697591,-79.8760504,kroger,4,3,4,3
"178 Red Oaks Shopping Center Ronceverte, WV 24970",Ronceverte,WV,24970,37.7682688,-80.467048,kroger,4,3,4,3
"2835 Reynolda Rd Winston-Salem, NC 27106",Winston-Salem,NC,27106,36.1458915,-80.2988756,kroger,4,3,4,3
"5365 Robinhood Village Dr Winston-Salem, NC 27106",Winston-Salem,NC,27106,36.1228478,-80.3682477,kroger,4,3,4,3
"1955 North Peace Haven Road WINSTON SALEM, NC 27106",Winston Salem,NC,27106,36.117995,-80.3106846,kroger,4,3,4,3
"150 Grant Hill Lane WINSTON-SALEM, NC 27104",Winston-Salem,NC,27104,36.0839327,-80.3469458,kroger,4,3,4,3
"420-22 South Stratford Road Winston Salem, NC 27103",Winston Salem,NC,27103,36.0901912,-80.2857454,kroger,4,3,4,3
"2281 Cloverdale Avenue Winston Salem, NC 27103",Winston Salem,NC,27103,36.0911576,-80.2762412,kroger,4,3,4,3
"4150 Clemmons Road Clemmons, NC 27012",Clemmons,NC,27012,36.0201037,-80.4072122,kroger,4,3,4,3
"971 S. Main Street Kernersville, NC 27284",Kernersville,NC,27284,36.1072364,-80.0947009,kroger,4,3,4,3
"4010 Battleground Avenue Greensboro, NC 27410",Greensboro,NC,27410,36.1475796,-79.8667224,kroger,4,3,4,3
"1229 Stafford Dr Princeton, WV 24740",Princeton,WV,24740,37.3606644,-81.0950314,kroger,4,3,4,3
"308 Stokes Dr Hinton, WV 25951",Hinton,WV,25951,37.6600022,-80.8910937,kroger,4,3,4,3
"240 Main Street Hinton, WV 25951",Hinton,WV,25951,37.6658645,-80.8942096,kroger,4,3,4,3
"401 Pisgah Church Rd Greensboro, NC 27455",Greensboro,NC,27455,36.130463,-79.795623,kroger,4,3,4,3
"1605 New Garden Rd Greensboro, NC 27410",Greensboro,NC,27410,36.1187048,-79.8759174,kroger,4,3,4,3
"2639 Lawndale Dr GREENSBORO, NC 27408",Greensboro,NC,27408,36.1033674,-79.8213949,kroger,4,3,4,3
"701 Francis King Street GREENSBORO, NC 27410",Greensboro,NC,27410,36.0885565,-79.8910518,kroger,4,3,4,3
"3330 West Friendly Ave Greensboro, NC 27410",Greensboro,NC,27410,36.0881243,-79.8377251,kroger,4,3,4,3
"1589 Skeet Club Road Suite 140 High Point, NC 27265",High Point,NC,27265,36.0328995,-79.9683366,kroger,4,3,4,3
"5710-W West Gate City Blvd Greensboro, NC 27407",Greensboro,NC,27407,36.0172388,-79.8974373,kroger,4,3,4,3
"2727 S. Church St BURLINGTON, NC 27215",Burlington,NC,27215,36.0822928,-79.4835884,kroger,4,3,4,3
"265 Eastchester Dr HIGH POINT, NC 27262",High Point,NC,27262,35.98464,-80.0191108,kroger,4,3,4,3
"151 N Beaver Ln Beaver, WV 25813",Beaver,WV,25813,37.7507853,-81.1365177,kroger,4,3,4,3
"406 John Raine Drive Rainelle, WV 25962",Rainelle,WV,25962,37.966503,-80.7748258,kroger,4,3,4,3
"1734 Harper Rd Beckley, WV 25801",Beckley,WV,25801,37.7891065,-81.2025531,kroger,4,3,4,3
"133 Beckley Crossing Beckley, WV 25801",Beckley,WV,25801,37.8012928,-81.1816577,kroger,4,3,4,3
"411 Mall Rd Oak Hill, WV 25901",Oak Hill,WV,25901,38.0124177,-81.1276549,kroger,4,3,4,3
"31 Midway St Bristol, VA 24201",Bristol,VA,24201,36.5962501,-82.2153137,kroger,4,3,4,3
"466 Cummings St Abingdon, VA 24210",Abingdon,VA,24210,36.7059125,-81.9740139,kroger,4,3,4,3
"1664 E Stone Dr Kingsport, TN 37660",Kingsport,TN,37660,36.5487385,-82.5157411,kroger,4,3,4,3
"112 Sunset Dr Johnson City, TN 37604",Johnson City,TN,37604,36.343499,-82.379842,kroger,4,3,4,3
"1805 W State Of Franklin Rd Johnson City, TN 37604",Johnson City,TN,37604,36.2998505,-82.3803117,kroger,4,3,4,3
"1461 Blowing Rock Rd Boone, NC 28607",Boone,NC,28607,36.2021857,-81.6626135,kroger,4,3,4,3
"240 Shadowline Drive BOONE, NC 28607",Boone,NC,28607,36.202342,-81.6593524,kroger,4,3,4,3
"25 Holden Rd Logan, WV 25601",Logan,WV,25601,37.8451023,-82.0144373,kroger,4,3,4,3
"515 N 12Th St Middlesboro, KY 40965",Middlesboro,KY,40965,36.613695,-83.7048852,kroger,4,3,4,3
"450 11Th St Elkins, WV 26241",Elkins,WV,26241,38.9187102,-79.8438147,kroger,4,3,4,3
"5116 N Roxboro Rd Durham, NC 27704",Durham,NC,27704,36.069227,-78.906498,kroger,4,3,4,3
"1501 Horton Road Durham, NC 27705",Durham,NC,27705,36.0563491,-78.9308364,kroger,4,3,4,3
"1802 N Pointe Dr Durham, NC 27705",Durham,NC,27705,36.029752,-78.920454,kroger,4,3,4,3
"3457 Hillsborough Rd Durham, NC 27705",Durham,NC,27705,36.018641,-78.948682,kroger,4,3,4,3
"2107 Hillsborough Rd Durham, NC 27705",Durham,NC,27705,36.0095316,-78.924086,kroger,4,3,4,3
"1800 Martin Luther King Jr. Boulevard Chapel Hill, NC 27514",Chapel Hill,NC,27514,35.9683503,-79.0585928,kroger,4,3,4,3
"1817 Martin Luther King Jr. Parkway DURHAM, NC 27707",Durham,NC,27707,35.9596151,-78.9589978,kroger,4,3,4,3
"1432 Brogden Woods Dr WAKE FOREST, NC 27587",Wake Forest,NC,27587,35.9905035,-78.6934653,kroger,4,3,4,3
"2110 S. Estes Dr Ste OP-4 Chapel Hill, NC 27514",Chapel Hill,NC,27514,35.9296154,-79.0265544,kroger,4,3,4,3
"1125 West NC 54 Highway DURHAM, NC 27707",Durham,NC,27707,35.9176223,-78.9585066,kroger,4,3,4,3
"310 N Greensboro St Carrboro, NC 27510",Carrboro,NC,27510,35.912364,-79.070885,kroger,4,3,4,3
"202 E NC Highway 54 Durham, NC 27713",Durham,NC,27713,35.9127223,-78.9365485,kroger,4,3,4,3
"116 W. Barbee Chapel Road CHAPEL HILL, NC 27517",Chapel Hill,NC,27517,35.9064668,-79.0108837,kroger,4,3,4,3
"4221 Corners Pkwy Raleigh, NC 27617",Raleigh,NC,27617,35.91925,-78.788053,kroger,4,3,4,3
"3265 Smoot Ave Madison, WV 25130",Madison,WV,25130,38.074603,-81.821733,kroger,4,3,4,3
"1356 Smoot Avenue Danville, WV 25053",Danville,WV,25053,38.0746335,-81.8216892,kroger,4,3,4,3
"10635 Maccorkle Ave Marmet, WV 25315",Marmet,WV,25315,38.2400889,-81.5599386,kroger,4,3,4,3
"5717 Maccorkle Ave Se Charleston, WV 25304",Charleston,WV,25304,38.3112419,-81.5652377,kroger,4,3,4,3
"1100 Fledderjohn Rd Charleston, WV 25314",Charleston,WV,25314,38.3398665,-81.6774653,kroger,4,3,4,3
"101 Mullins Rd Charleston, WV 25314",Charleston,WV,25314,38.3418356,-81.6652435,kroger,4,3,4,3
"101 Lee Street W. Charleston, WV 25302",Charleston,WV,25302,38.3593404,-81.6419717,kroger,4,3,4,3
"981 Dunbar Village Plz Dunbar, WV 25064",Dunbar,WV,25064,38.3577902,-81.7345197,kroger,4,3,4,3
"2908 State St Gassaway, WV 26624",Gassaway,WV,26624,38.6582624,-80.7494591,kroger,4,3,4,3
"500 Delaware Ave Charleston, WV 25302",Charleston,WV,25302,38.3627458,-81.6448892,kroger,4,3,4,3
"5 River Walk Mall South Charleston, WV 25303",South Charleston,WV,25303,38.3652643,-81.7102771,kroger,4,3,4,3
"223 The Crossings S/C Elkview, WV 25071",Elkview,WV,25071,38.45936,-81.49904,kroger,4,3,4,3
